game	manufacturer	current_url	original_o_pinside_url
Metallica	Stern	https://o.pinside.com/0/d6/40/0d640d48344cfa61e36c945d5c273959cf36aed8.jpeg	
The Simpsons Pinball Party	Stern	https://imgproxy.pinside.com/RIAZC0DAD2IUDAAgui_4rM6KDBwp6yPikbNNnlSaXpw/rs:fit:2048/q:85/fn:Pinside_archive_1143_2506249/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tLzMvNGIvMmEvMzRiMmFjZWNlZTU2MzNkOGViNWY1NGNjZWY0ZTkwZGU0YWEwNThlMy5qcGc	https://o.pinside.com/3/4b/2a/34b2acecee5633d8eb5f54ccef4e90de4aa058e3.jpg
The Getaway: High Speed II	Williams	https://imgproxy.pinside.com/rUzfGvBQRNLLDamKPC_CI12ylcgMe8DiDUVpe79omfM/rs:fit:2048/q:85/fn:Pinside_archive_207_2353782/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tLzkvNmQvMjQvOTZkMjQ5NDY2YjZjMGY3MTg5YmZjYjBjOWRiNjFjMTgwZDBlZjc1Zi5qcGVn	https://o.pinside.com/9/6d/24/96d249466b6c0f7189bfcb0c9db61c180d0ef75f.jpeg
Monster Bash	Williams	https://imgproxy.pinside.com/pZuLgEgy0hWsr2i1czlrPnNHHyarew5je1FiDU6zKn4/rs:fit:2048/q:85/fn:Pinside_archive_972_3059532/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tLzIvMzEvNmUvMjMxNmU4ZjkwMjdkZWE2YzAwNGIzZTAzMTAyZmVmZTZlYTJjMjI5ZC5qcGc	https://o.pinside.com/2/31/6e/2316e8f9027dea6c004b3e03102fefe6ea2c229d.jpg
Indiana Jones: The Pinball Adventure	Williams	https://i0.wp.com/arcade83.us/wp-content/uploads/2022/09/e10cd8_098ae4bfb87b4ac5a401df7617fcdc65mv2.webp	
Cactus Canyon	Bally	https://imgproxy.pinside.com/u2RvRbqVBaQ56LRJ5hfaX0Uq0yDOG4PbY_CvAg-mcd4/rs:fit:2048/q:85/fn:Pinside_archive_2979_2616905/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tL2QvOGMvOTIvZDhjOTJmNDNmYTFjOTFjYmZjMDRiOWU1M2E4ZWM1YzUxYzY3OTk4Ny5qcGc	https://o.pinside.com/d/8c/92/d8c92f43fa1c91cbfc04b9e53a8ec5c51c679987.jpg
Tales of the Arabian Nights	Williams	https://firebirdpinball.com/wp-content/uploads/2015/01/TOTAN2.jpg	
The Addams Family	Bally	https://imgproxy.pinside.com/GVc59F2RRq1K9VlRok_O3nIoAFOX6vnqlt0iSp8AShE/rs:fit:2048/q:85/fn:Pinside_archive_2_1564480/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tLzIvYmEvNjIvMmJhNjJjYzRjNjljMjUxY2Y4ZmY0MWUwZTI3ZjlkMjZjMGRhZTk5YS5qcGVn	https://o.pinside.com/2/ba/62/2ba62cc4c69c251cf8ff41e0e27f9d26c0dae99a.jpeg
Kiss	Stern	https://imgproxy.pinside.com/ACTYe6GxLQnvnxoLH1GCkBHFA1GMAQdjYWEEcGBk4fk/rs:fit:2048/q:85/fn:Pinside_archive_2227_107333/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tL2QvYjgvOGYvZGI4OGYwNjI3ZWQwYmI3MTgxOTlhNTMzZmEzMzBmN2MxZDcwNjJjZi5qcGc	https://o.pinside.com/d/b8/8f/db88f0627ed0bb718199a533fa330f7c1d7062cf.jpg
Pulp Fiction	CGC	https://www.chicago-gaming.com/images/pfp/playfield_full.jpg	
Tron: Legacy	Stern	https://www.ipdb.org/images/5682/image-7.jpg	
Scared Stiff	Bally	https://www.cometpinball.com/cdn/shop/products/CometPinballScaredStiffLEDKitPlayfield.jpg	
Game of Thrones	Stern	https://www.pinballnews.com/games/gameofthrones/8a.jpg	
Attack from Mars	Bally	https://www.pinballbulbs.com/sites/default/files/attack_from_mars_white.jpg	
Medieval Madness	Williams	https://www.cometpinball.com/cdn/shop/products/CometPinballMedievalMadnessLEDKitPlayfield.jpg	
